Calculated Dose,Regular,APL,Regenboogen
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
